Identifier,Fold,Accuracy,Mean_Accuracy,Mean_Class_F1_Scores
sub14ex2,3,0.801178203,0.778720225,"[0.7541875392369556, 0.7175221391908347, 0.8567919098561573]"
sub14ex2,4,0.762886598,0.778720225,"[0.7541875392369556, 0.7175221391908347, 0.8567919098561573]"
sub14ex2,5,0.755162242,0.778720225,"[0.7541875392369556, 0.7175221391908347, 0.8567919098561573]"
sub14ex3,1,0.783505155,0.774310651,"[0.7126606195083126, 0.7457261437763751, 0.8507511650178866]"
sub14ex3,2,0.780559647,0.774310651,"[0.7126606195083126, 0.7457261437763751, 0.8507511650178866]"
sub14ex3,3,0.770250368,0.774310651,"[0.7126606195083126, 0.7457261437763751, 0.8507511650178866]"
sub14ex3,4,0.75257732,0.774310651,"[0.7126606195083126, 0.7457261437763751, 0.8507511650178866]"
sub14ex3,5,0.784660767,0.774310651,"[0.7126606195083126, 0.7457261437763751, 0.8507511650178866]"
sub15ex1,1,0.970544919,0.977608491,"[0.9769170578119747, 0.9702561902637841, 0.9853852647112156]"
sub15ex1,2,0.974963181,0.977608491,"[0.9769170578119747, 0.9702561902637841, 0.9853852647112156]"
sub15ex1,3,0.982326951,0.977608491,"[0.9769170578119747, 0.9702561902637841, 0.9853852647112156]"
sub15ex1,4,0.979381443,0.977608491,"[0.9769170578119747, 0.9702561902637841, 0.9853852647112156]"
sub15ex1,5,0.980825959,0.977608491,"[0.9769170578119747, 0.9702561902637841, 0.9853852647112156]"
sub15ex2,1,0.932253314,0.945200516,"[0.9197914168104859, 0.9207841612406218, 0.9923312981215627]"
sub15ex2,2,0.957290133,0.945200516,"[0.9197914168104859, 0.9207841612406218, 0.9923312981215627]"
sub15ex2,3,0.935198822,0.945200516,"[0.9197914168104859, 0.9207841612406218, 0.9923312981215627]"
sub15ex2,4,0.9455081,0.945200516,"[0.9197914168104859, 0.9207841612406218, 0.9923312981215627]"
sub15ex2,5,0.955752212,0.945200516,"[0.9197914168104859, 0.9207841612406218, 0.9923312981215627]"
sub15ex3,1,0.974963181,0.973188056,"[0.9724868944830549, 0.9597429147935843, 0.9866554474063784]"
sub15ex3,2,0.974963181,0.973188056,"[0.9724868944830549, 0.9597429147935843, 0.9866554474063784]"
sub15ex3,3,0.972017673,0.973188056,"[0.9724868944830549, 0.9597429147935843, 0.9866554474063784]"
sub15ex3,4,0.970544919,0.973188056,"[0.9724868944830549, 0.9597429147935843, 0.9866554474063784]"
sub15ex3,5,0.973451327,0.973188056,"[0.9724868944830549, 0.9597429147935843, 0.9866554474063784]"
,,0.854205932,,
